2.000000, 2.000000, -9.991932, -0.401615, 0.411173, 0.000000
4.000000, 2.000000, -8.924839, -4.510793, 0.005694, 0.000000
6.000000, 2.000000, -9.999187, 0.127513, -0.005694, -0.000000
8.000000, 2.000000, 6.613903, 7.500420, -0.411173, -0.000000
2.000000, 4.000000, 6.857637, 7.278243, 0.411173, 0.000000
4.000000, 4.000000, -9.643597, -2.645948, 0.005694, 0.000000
6.000000, 4.000000, -1.157984, 9.932727, -0.005694, 0.000000
8.000000, 4.000000, 1.238892, 9.922961, -0.411173, -0.000000
2.000000, 6.000000, -4.748309, 8.800771, 0.411173, 0.000000
4.000000, 6.000000, -7.125600, 7.016112, 0.005694, 0.000000
6.000000, 6.000000, 4.340997, -9.008648, -0.005694, -0.000000
8.000000, 6.000000, -6.958154, 7.182207, -0.411173, -0.000000
2.000000, 8.000000, -7.715963, -6.361125, 0.411173, 0.000000
4.000000, 8.000000, 8.870139, 4.617427, 0.005694, 0.000000
6.000000, 8.000000, 8.313531, 5.557446, -0.005694, 0.000000
8.000000, 8.000000, -9.083222, 4.182712, -0.411173, -0.000000
2.000000, 10.000000, 4.439200, -8.960664, 0.411173, 0.000000
4.000000, 10.000000, 2.304587, 9.730821, 0.005694, 0.000000
6.000000, 10.000000, -9.976644, -0.683069, -0.005694, -0.000000
8.000000, 10.000000, 1.576796, 9.874903, -0.411173, -0.000000

1.980017, 1.999197, -9.991102, -0.401614, 0.419136, 0.000975
3.982150, 1.990978, -8.924820, -4.510834, 0.013266, -0.040992
5.980002, 2.000255, -9.999240, 0.127489, -0.047687, -0.023798
8.013227, 2.015001, 6.613118, 7.500407, -0.373424, -0.013039
2.013716, 4.014556, 6.858494, 7.278255, 0.445840, 0.011756
3.980713, 3.994708, -9.643648, -2.645960, -0.056777, -0.011860
5.997684, 4.019865, -1.157980, 9.932800, 0.010145, 0.072707
8.002477, 4.019846, 1.238074, 9.922977, -0.406704, 0.016198
1.990504, 6.017602, -4.747479, 8.800813, 0.418619, 0.042635
3.985749, 6.014032, -7.125620, 7.016135, -0.026001, 0.022843
6.008682, 5.981983, 4.341044, -9.008723, 0.052707, -0.074104
7.986083, 6.014364, -6.959004, 7.182202, -0.439644, -0.004730
1.984569, 7.987278, -7.715175, -6.361158, 0.377162, -0.032974
4.017740, 8.009235, 8.870183, 4.617410, 0.038317, -0.016845
6.016627, 8.011115, 8.313559, 5.557494, 0.033874, 0.047743
7.981833, 8.008365, -9.084086, 4.182691, -0.453030, -0.021026
2.008879, 9.982079, 4.440019, -8.960685, 0.408358, -0.020074
4.004609, 0.019462, 2.304626, 9.730864, 0.033284, 0.042876
5.980047, 9.998634, -9.976711, -0.683083, -0.061804, -0.013904
8.003153, 0.019750, 1.575999, 9.874919, -0.385637, 0.015616

1.960036, 1.998394, -9.990257, -0.401612, 0.425691, 0.001566
3.964301, 1.981957, -8.924784, -4.510961, 0.022127, -0.085642
5.960003, 2.000510, -9.999374, 0.127418, -0.085693, -0.046723
8.026452, 2.030002, 6.612404, 7.500368, -0.340304, -0.025668
2.027434, 4.029113, 6.859426, 7.278288, 0.486804, 0.021755
3.961425, 3.989416, -9.643829, -2.645993, -0.123972, -0.021585
5.995368, 4.039731, -1.157943, 9.933025, 0.026270, 0.152139
